year,county,Price,Capacity,ShareCCC,ShareHighRated,ShareFCC,SharePublic
2016,Koochiching County,96.09999999999999,11.3,0,.167,.833,.167
2016,Carlton County,121.8,16.7,.106,.303,.788,.106
2016,Pipestone County,100.5,11.8,.026,.158,.842,.132
2016,Rock County,102.5,11.4,0,.048,.952,.048
2016,Redwood County,104.5,10.8,0,.118,.902,.098
2016,Hubbard County,119.8,11.7,.038,.302,.925,.038
2016,Faribault County,122.8,12.4,.135,.189,.784,.081
2016,Waseca County,114.4,12.3,.045,.091,.864,.091
2016,Sibley County,116.1,10.6,0,.135,.904,.096
2016,Lake County,110.5,10,0,.083,.917,.083
2016,Yellow Medicine County,105.7,11,.043,.191,.872,.085
2016,Grant County,87.59999999999999,11.6,0,.286,.762,.238
2016,Pine County,117,12.5,.039,.235,.863,.098
2016,Lac qui Parle County,107.8,11.5,.048,.143,.8100000000000001,.143
2016,Aitkin County,102.4,12,0,.192,.846,.154
2016,Lincoln County,96.2,11.1,0,.136,.864,.136
2016,Pope County,110.4,12.8,.037,.074,.889,.074
2016,Marshall County,98.09999999999999,11.4,.03,.182,.818,.152
2016,Swift County,94.8,12.1,.032,.161,.8060000000000001,.161
2016,Kanabec County,116.7,24.6,.056,.222,.861,.083
2016,Becker County,110.5,11.9,.039,.304,.853,.108
2016,Isanti County,136.2,17.8,.133,.222,.778,.089
2016,Mahnomen County,82.90000000000001,15,0,.571,.714,.286
2016,Renville County,105.7,12.6,.079,.132,.789,.132
2016,Kittson County,91.8,10.8,0,.211,.789,.211
2016,Lake of the Woods County,88.8,11.5,0,.333,.778,.222
2016,Big Stone County,95.90000000000001,11,0,.167,.833,.167
2016,Jackson County,102.6,12.6,.056,.167,.8060000000000001,.139
2016,Traverse County,95.8,11.2,0,.167,.833,.167
2016,Wilkin County,94.40000000000001,11.4,0,.174,.826,.174
2017,Freeborn County,98.90000000000001,12.7,.049,.148,.869,.082
2017,Washington County,163.2,19.1,.122,.189,.8020000000000001,.076
2017,Kandiyohi County,105.3,12.7,.046,.185,.889,.065
2017,Olmsted County,146.7,17.6,.084,.139,.868,.048
2017,Winona County,110,15.4,.079,.157,.831,.09
2017,Wadena County,88,11.5,.057,.257,.771,.171
2017,Ramsey County,171.8,25.6,.25,.278,.647,.103
2017,Dakota County,173.7,21.9,.16,.152,.789,.051
2017,Anoka County,153.9,17.9,.129,.183,.8070000000000001,.064
2017,Polk County,103.2,13.9,.069,.167,.833,.098
2017,Wabasha County,117,11.1,.03,.149,.91,.06
2017,Todd County,84.40000000000001,12.4,.019,.259,.815,.167
2017,Nobles County,82.7,13.7,.039,.216,.784,.176
2017,Hennepin County,193.7,32.1,.322,.244,.592,.086
2017,Mower County,101.4,13,.025,.148,.852,.123
2017,Scott County,167.6,14.9,.072,.098,.897,.032
2017,Dodge County,123.1,11.5,.014,.056,.9310000000000001,.056
2017,Stearns County,113.5,13.5,.066,.115,.878,.057
2017,Goodhue County,125.8,12.8,.07,.14,.85,.08
2017,Wright County,138.7,13.5,.051,.102,.883,.066
2017,Pennington County,107.2,11,.032,.065,.919,.048
2017,Lyon County,102,12.4,.054,.161,.857,.089
2017,Fillmore County,99.3,15.5,.093,.14,.791,.116
2017,Le Sueur County,118.7,11.3,.024,.131,.905,.071
2017,Rice County,131.9,11.8,.045,.097,.918,.037
2017,Mille Lacs County,109.8,16.7,.102,.184,.796,.102
2017,Houston County,103.3,12.6,.05,.167,.85,.1
2017,Beltrami County,105.5,13.1,.034,.16,.874,.092
2017,Sherburne County,135.7,14.2,.074,.084,.888,.037
2017,Martin County,92.7,11.9,.029,.116,.87,.101
