year,MSA,ED_region,county,itp_avg_price,underSA_cap,pCCC,FCC,public,HR,pq12
2014,0,Southwestcentral,Renville County,95.812424,11.738238,.037037037,.87037039,.09259259,.09259259,.9074074
2014,0,Headwaters,Clearwater County,87.659859,11.626373,0,.84615386,.15384616,.26923078,.73076922
2014,0,Arrowhead,Carlton County,105.30103,16.768074,.092105262,.78947371,.11842106,.18421052,.81578946
2014,0,Southwest,Redwood County,96.567924,9.8378792,0,.95454544,.045454547,.045454547,.95454544
2014,0,Southwest,Cottonwood County,92.617973,11.282349,.024390243,.87804878,.097560972,.097560972,.902439
2014,0,Northwest,Marshall County,87.369354,11.300985,.029411765,.85294116,.11764706,.11764706,.88235295
2014,0,Southwest,Murray County,90.293518,12.35033,.03846154,.92307693,.03846154,.03846154,.96153843
2014,0,Arrowhead,Koochiching County,95.646645,11.053572,0,.89285713,.10714286,.10714286,.89285713
2014,0,Westcentral,Stevens County,95.483063,11.325163,.023809524,.9285714,.047619049,.047619049,.95238096
2014,0,Headwaters,Hubbard County,108.2869,10.346737,.033333335,.94999999,.016666668,.1,.89999998
2014,0,UpperMNvalley,Big Stone County,87.779053,10.191228,0,.89473683,.10526316,.10526316,.89473683
2014,0,Arrowhead,Cook County,118.79716,11.437508,.07692308,.84615386,.07692308,.07692308,.92307693
2014,0,Northwest,Norman County,95.962708,13.923518,.095238097,.85714287,.047619049,.095238097,.90476191
2014,0,Headwaters,Mahnomen County,64.77829,17.051949,.045454547,.59090906,.36363637,.59090906,.40909091
2014,0,Westcentral,Grant County,82.264244,11.343358,0,.78947371,.21052632,.21052632,.78947371
2014,0,UpperMNvalley,Lac qui Parle County,87.474007,11.293454,.047619049,.80952382,.14285715,.14285715,.85714287
2014,0,Southcentral,Watonwan County,81.821678,14.734403,.10714286,.78571427,.10714286,.14285715,.85714287
2014,0,Headwaters,Lake of the Woods County,87.688675,10.793651,0,.8888889,.11111111,.11111111,.8888889
2014,0,Metro,Anoka County,151.68347,16.888592,.10584958,.8551532,.038997214,.090529248,.90947074
2014,1,Metro,Hennepin County,181.11925,26.399942,.25565913,.69507325,.049267642,.14314248,.85685754
2014,1,Metro,Scott County,159.2822,13.976339,.052391801,.92938495,.018223235,.034168564,.96583146
2014,1,Metro,Ramsey County,168.87296,22.098349,.19694868,.76421636,.038834952,.1442441,.85575587
2014,1,Central,Wright County,133.95349,12.6948,.036764707,.91176468,.051470589,.05882353,.94117647
2014,1,Central,Sherburne County,132.11948,13.758381,.054744527,.91605842,.02919708,.032846715,.96715331
2014,1,Metro,Washington County,160.14636,17.822609,.1,.86199999,.037999999,.079999998,.92000002
2014,1,Metro,Dakota County,166.60718,18.453594,.11882353,.85647058,.024705883,.079999998,.92000002
2014,1,EastCentral,Isanti County,124.60131,17.490192,.13725491,.78431374,.078431375,.15686275,.84313726
2014,1,EastCentral,Chisago County,130.47815,13.691633,.057377048,.88524592,.057377048,.073770493,.92622954
2014,1,Metro,Carver County,158.4931,19.715664,.115,.83999997,.045000002,.079999998,.92000002
2015,0,Southeast,Freeborn County,104.94727,12.173448,.039473683,.92105263,.039473683,.052631579,.94736844
2015,1,Metro,Washington County,162.73074,17.021551,.10590632,.84928715,.044806518,.097759672,.90224034
2015,0,Southwestcentral,Kandiyohi County,100.97755,11.050109,.03846154,.89999998,.061538462,.13846155,.86153847
2015,0,Southern,Olmsted County,141.7028,16.956642,.072614111,.89211619,.035269711,.10373444,.89626557
