cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
G2700470,Freeborn County,.49370843,.12016287,.34214801,.031397536,.43369469,.028616205,5.0525851,9.8431005,5.0906301,8.538209,5.0616965,12.324083,111.62524,163.25078,106.58781,0,115.31699,187.08475,120.04621,179.65594,115.07219,14.230349,123.75316,1.7068297
G2701310,Le Sueur County,.72175974,.074779831,.53991914,.10706075,.53826314,.076435819,3.8473523,13.837517,3.8583193,5.3497877,3.8931396,8.7184839,115.07035,195.14291,125.52775,0,127.79306,156.98544,121.4826,218.20544,131.95828,8.9163122,134.28162,1.2879627
G2700650,Kanabec County,.97457737,.039561007,.38125914,.55375719,.42081991,2.3156140e-07,6.7130156,13.287978,6.7133369,9.4860821,6.5572124,25.435644,76.65097,146.20915,111.18194,0,114.4497,115.28117,87.839333,168.35577,122.37083,15.810138,125.37839,1.2671943
G2700030,Anoka County,.51862252,.24931757,.24096163,.028343286,.36793619,.12234302,4.3028283,4.828896,4.2685685,6.0955114,4.3184662,5.5223265,186.59689,242.17833,150.65208,0,178.79605,242.69711,193.76826,250.22649,157.76636,10.159186,185.9935,1.3590509
G2700590,Isanti County,.38654545,.1931168,.16228999,.031138645,.28964135,.065765448,5.724194,9.0819407,5.6523933,7.9336681,5.8143687,7.7122254,139.45,182.91476,130.56061,0,144.64008,175.08125,148.99031,198.05133,139.98128,13.22278,154.3307,1.2278982
G2701470,Steele County,.80068856,.18419558,.54646862,.070024379,.64634216,.084321991,4.0671978,7.1876621,4.1108804,4.8756261,4.051558,7.8890085,119.62294,193.45799,109.62167,0,122.63337,198.31548,126.4016,205.43742,116.47314,8.1260433,129.38597,1.6577566
G2700370,Dakota County,.55622625,.28909084,.24775954,.019375905,.39989638,.13695398,4.1203294,4.3718758,4.1109843,4.9021564,4.1303725,5.225862,207.18616,260.60828,164.55324,0,193.68904,273.04556,214.05338,267.89474,171.40489,8.1702604,200.573,1.4119818
G2701230,Anoka County,.51862252,.24931757,.24096163,.028343286,.36793619,.12234302,4.3028283,4.828896,4.2685685,6.0955114,4.3184662,5.5223265,186.59689,242.17833,150.65208,0,178.79605,242.69711,193.76826,250.22649,157.76636,10.159186,185.9935,1.3590509
G2700250,Isanti County,.38654545,.1931168,.16228999,.031138645,.28964135,.065765448,5.724194,9.0819407,5.6523933,7.9336681,5.8143687,7.7122254,139.45,182.91476,130.56061,0,144.64008,175.08125,148.99031,198.05133,139.98128,13.22278,154.3307,1.2278982
G2701150,Pine County,.375393,.021421982,.27957055,.07440047,.25066641,.050326124,8.4811354,21.102497,9.0500708,11.307409,9.2465963,14.170055,102.3314,112.5975,120.79012,0,118.63419,123.8704,116.46663,147.76833,135.87357,18.845682,134.04518,1.1054766
G2701370,St. Louis County,.54622197,.18547592,.23938674,.1213593,.39560696,.029255705,4.8307767,10.527256,5.1229687,5.8149495,5.0332203,16.219059,107.17493,145.82744,123.78483,0,128.50755,141.8455,115.22623,163.37286,132.3231,9.6915827,136.89624,1.2528223
G2700990,Freeborn County,.49370843,.12016287,.34214801,.031397536,.43369469,.028616205,5.0525851,9.8431005,5.0906301,8.538209,5.0616965,12.324083,111.62524,163.25078,106.58781,0,115.31699,187.08475,120.04621,179.65594,115.07219,14.230349,123.75316,1.7068297
G2700390,Dodge County,.74646246,.10347938,.58069575,.062287316,.6838755,.00029962166,4.3820548,11.168596,4.3849788,9.1354914,4.3883071,17.801973,119.37337,182.17142,122.25918,0,126.87634,160.26003,126.67679,200.78574,129.56747,15.225819,134.19017,1.4555217
